iter	Passed	Remaining
0	60	8181
1	95	6431
2	131	5848
3	193	6377
4	248	6508
5	307	6667
6	360	6646
7	415	6647
8	471	6653
9	525	6623
10	589	6701
11	633	6546
12	675	6392
13	704	6139
14	727	5871
15	750	5628
16	791	5543
17	845	5544
18	861	5303
19	874	5070
20	933	5114
21	971	5033
22	1061	5217
23	1196	5584
24	1220	5418
25	1279	5411
26	1334	5387
27	1388	5354
28	1439	5311
29	1466	5180
30	1521	5153
31	1576	5122
32	1629	5086
33	1665	4995
34	1724	4974
35	1759	4886
36	1816	4859
37	1872	4828
38	1927	4794
39	1957	4698
40	2014	4668
41	2069	4630
42	2124	4594
43	2181	4561
44	2200	4449
45	2233	4370
46	2271	4301
47	2316	4247
48	2338	4151
49	2393	4116
50	2406	4010
51	2429	3923
52	2486	3893
53	2541	3858
54	2562	3773
55	2617	3739
56	2670	3700
57	2726	3667
58	2780	3628
59	2834	3590
60	2893	3557
61	2946	3517
62	3002	3478
63	3060	3443
64	3114	3401
65	3170	3363
66	3224	3320
67	3281	3281
68	3334	3237
69	3390	3196
70	3445	3154
71	3500	3111
72	3555	3068
73	3607	3022
74	3660	2977
75	3715	2932
76	3769	2888
77	3824	2843
78	3886	2804
79	3948	2764
80	4006	2720
81	4063	2676
82	4120	2631
83	4178	2586
84	4243	2546
85	4304	2502
86	4360	2456
87	4419	2410
88	4477	2364
89	4535	2318
90	4594	2271
91	4654	2226
92	4709	2177
93	4766	2129
94	4824	2082
95	4883	2034
96	4942	1987
97	5002	1939
98	5063	1892
99	5125	1845
100	5183	1796
101	5243	1747
102	5304	1699
103	5367	1651
104	5425	1601
105	5481	1551
106	5538	1501
107	5597	1451
108	5654	1400
109	5711	1350
110	5768	1299
111	5826	1248
112	5887	1198
113	5948	1147
114	6005	1096
115	6062	1045
116	6120	993
117	6179	942
118	6238	891
119	6296	839
120	6355	787
121	6412	735
122	6469	683
123	6527	631
124	6585	579
125	6644	527
126	6700	474
127	6763	422
128	6819	370
129	6877	317
130	6936	264
131	6995	211
132	7058	159
133	7117	106
134	7179	53
135	7237	0
